PRODUCT_ID,PRODUCT_NAME,CATEGORY,PRODUCT_TYPE,PRICE_INR,COGS_INR,SKU_CODE
1,Running Shoes X1,Footwear,Finished Goods,2999,1800,SKU-FW-001
2,Yoga Mat Pro,Fitness,Finished Goods,899,400,SKU-FT-001
3,Whey Protein 1kg,Nutrition,Finished Goods,1499,700,SKU-NU-001
4,Smart Watch Series 5,Electronics,Finished Goods,12999,6000,SKU-EL-001
5,Laptop Sleeve 15in,Accessories,Finished Goods,1299,500,SKU-AC-001
6,Wireless Earbuds Pro,Electronics,Finished Goods,3499,1500,SKU-EL-002
7,Vitamin C Serum,Skincare,Finished Goods,799,300,SKU-SK-001
8,Air Fryer 4L,Appliances,Finished Goods,6999,3200,SKU-AP-001
9,Planner Set 2024,Stationery,Finished Goods,499,150,SKU-ST-001
10,Insulated Bottle 1L,Fitness,Finished Goods,599,220,SKU-FT-002
11,Noise-Cancel Headphones,Electronics,Finished Goods,8999,4000,SKU-EL-003
12,Premium Kurta Set,Apparel,Finished Goods,1599,700,SKU-AP-001
13,Sports Shoes Lite,Footwear,Finished Goods,3499,1600,SKU-FW-002
14,Retinol Night Cream,Skincare,Finished Goods,1199,500,SKU-SK-002
15,Backpack 40L,Accessories,Finished Goods,2199,900,SKU-AC-002
16,Gaming Mouse RGB,Electronics,Finished Goods,1999,800,SKU-EL-004
17,Resistance Bands Set,Fitness,Spare Parts,399,120,SKU-FT-003
18,Smartwatch Strap,Electronics,Spare Parts,599,200,SKU-EL-005
19,Earbuds Charging Case,Electronics,Spare Parts,499,180,SKU-EL-006
20,Water Filter Cartridge,Appliances,Spare Parts,799,300,SKU-AP-002
21,Treadmill Belt,Fitness,Spare Parts,1299,500,SKU-FT-004
22,Blender Blade Set,Appliances,Spare Parts,699,250,SKU-AP-003
23,Desk Organiser,Accessories,Finished Goods,999,380,SKU-AC-003
24,Coffee Maker Deluxe,Appliances,Finished Goods,4999,2200,SKU-AP-004
25,Sunglasses UV400,Accessories,Finished Goods,1799,700,SKU-AC-004
