CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_TYPE,START_DATE,END_DATE,BUDGET_USD,OBJECTIVE,CHANNEL_ID,REGION,CURRENCY,SOURCE_SYSTEM
1,Summer Mega Sale 2022,Paid Search,14/07/2022,2022-08-09,13052.61,conversion,13,EMEA,EUR,ERP_SAP
2,Q3 Brand Push 2022,Social,16/07/2022,2022-09-01,47042.09,retention,4,EMEA,EUR,AD_PLATFORM
3,Holiday Deals 2022,Influencer,2022-07-11,2022-09-15,9309.27,,3,NAM,USD,CRM_SFDC
4,New Launch Blitz 2022,Social,2022-02-12,2022-04-27,24513.87,,1,EMEA,EUR,AD_PLATFORM
5,Retargeting Batch 5 2022,Social,2022-08-06,2022-09-02,24180.16,,10,NAM,USD,AD_PLATFORM
6,B2B LinkedIn Drive 2022,Paid Search,03/07/2022,2022-07-25,37880.4,retention,10,APJ,INR,ERP_SAP
7,YouTube Awareness 2022,Paid Search,2022-01-19,2022-02-09,24738.89,reactivation,7,APJ,INR,ERP_SAP
8,Black Friday 2022,Email,2022-02-14,2022-03-09,20290.95,conversion,9,NAM,USD,AD_PLATFORM
9,Year-End Clearance 2022,Push,29/01/2022,2022-03-24,14363.68,,14,APJ,INR,ERP_SAP
10,Spring Collection 2022,Paid Search,2022-09-01,2022-11-13,37450.6,upsell,10,APJ,INR,CRM_SFDC
11,Influencer Collab 11 2022,Social,2022-07-29,2022-08-19,8895.8,conversion,3,APJ,INR,AD_PLATFORM
12,Re-engagement Email 2022,Retargeting,2022-04-17,2022-06-26,38987.22,,4,EMEA,EUR,AD_PLATFORM
13,PMax Performance 2022,Social,2022-07-05,2022-07-30,26059.18,awareness,10,EMEA,EUR,ERP_SAP
14,IG Reels Campaign 2022,Retargeting,2022-04-21,2022-05-29,41473.62,retention,7,NAM,USD,AD_PLATFORM
15,Back to School 2022,Email,2022-10-01,2022-10-20,46305.74,upsell,14,APJ,INR,AD_PLATFORM
16,Diwali Grand Sale 2022,Influencer,2022-04-28,2022-05-31,33361.46,,2,EMEA,EUR,CRM_SFDC
17,Webinar Funnel 17 2022,Influencer,22/04/2022,2022-06-23,20410.62,,13,EMEA,EUR,ERP_SAP
18,SEO Authority Push 2022,Social,2022-08-04,2022-10-18,26151.23,,14,NAM,USD,AD_PLATFORM
19,Loyalty Rewards Drive 2022,Affiliate,2022-10-01,2022-10-23,44315.79,,11,NAM,USD,CRM_SFDC
20,Flash Sale 2022,Push,25/05/2022,2022-07-02,11334.65,,4,EMEA,EUR,AD_PLATFORM
21,Womens Day Special 2022,Influencer,2022-07-01,2022-08-28,44783.79,upsell,3,NAM,USD,CRM_SFDC
22,Independence Day 2022,Influencer,2022-08-02,2022-10-02,21595.8,reactivation,6,EMEA,EUR,CRM_SFDC
23,Cyber Monday 2022,Influencer,2022-01-02,2022-01-23,2062.04,lead_gen,11,EMEA,EUR,CRM_SFDC
24,Christmas Festive 2022,Influencer,19/09/2022,2022-11-22,14667.51,reactivation,12,NAM,USD,AD_PLATFORM
25,Affiliate Partner Launch 2022,Content,2022-10-14,2022-11-30,11613.66,awareness,2,EMEA,EUR,AD_PLATFORM
